Index,Tag,Atag,Btag,pIC50_MMP12,smiles,A_SortMax,B_SortMax,Final QC Purity,Generation-No,AB-MPS Score,ALogP,Acid pKa 1,Acid pKa 2,Acid pKa 3,Asphericity (3D),Basic pKa 1,Basic pKa 2,Basic pKa 3,Cumulative Charge (7.4),Eccentricity (3D),Formal Charge,Fraction Aromatic,Fraction Csp3,Fraction NO Atoms,Fraction PSA,Fraction Planar,Fractional PolarSASA,Fractional PolarSurfaceArea,Hydrophilic Volume,Hydrophobic Volume,Hydrophobic surface,InertialShapeFactor (3D),Ionization Category (7.4),Ionized Formal Charge,Ionized Number of Negative Atoms,Ionized Number of Positive Atoms,Ionized SMILES,KOWlogP,MPO Score,MPO.PET Score,MPO.v2 Score,Molecular Weight,NPR1 (3D),NPR2 (3D),Neutral SMILES,Number of Acceptor Lone Pairs,Number of Aromatic Atoms,Number of AromaticBonds,Number of AromaticRings,Number of Bonds,Number of C Atoms,Number of Csp3 Atoms,Number of Donor Hydrogens,Number of HAcceptors,Number of HDonors,Number of Heavy Atoms,Number of Heteroatoms,Number of NO Atoms,Number of NonAromaticRings,Number of Planar Ring Atoms,Number of Ring Assemblies,Number of Rings,Number of RotatableBonds,Number of Stereocenters,Ovality,PAMPA Category,PAMPA Comments,PAMPA Predicted value,PBF (3D),PHOSPHOLIPIDOSIS Amphiphilic vector,PHOSPHOLIPIDOSIS Predicted InVitro,PHOSPHOLIPIDOSIS Predicted InVivo,PSA,PolarSASA,PolarSASA (3D),PolarSurfaceArea,Quantitative Estimate of Drug-Likeness (QED),Radius of Gyration,RadiusOfGyration (3D),Rotational Volume,SASA,SASA (3D),SpherocityIndex (3D),SurfaceArea,Total Charge (7.4),Total Surface,Total Volume,Volume (3D),"mlCYP1A2 (HLM,3c)","mlCYP1A2 (HLM,3c) Gdns","mlCYP2C19 (HLM,3c)","mlCYP2C19 (HLM,3c) Gdns","mlCYP2C9 (HLM,3c)","mlCYP2C9 (HLM,3c) Gdns","mlCYP2D6 (HLM,3c)","mlCYP2D6 (HLM,3c) Gdns","mlCYP3A4 (HLM,3c)","mlCYP3A4 (HLM,3c) Gdns","mlClearance (HEP,h3c)","mlClearance (HEP,h3c) Gdns","mlClearance (HEP,m3c)","mlClearance (HEP,m3c) Gdns","mlClearance (MIC,h3c)","mlClearance (MIC,h3c) Gdns","mlClearance (MIC,m3c)","mlClearance (MIC,m3c) Gdns",mlCytotox (HEK293),mlCytotox (HEK293) Uncert,mlGSH (2c),mlGSH (2c) Gdns,mlHERG (2c),mlHERG (2c) Gdns,mlHERG (3c),mlHERG (3c) Gdns,mlLogD,mlLogD Gdns,mlMNT (2c),mlMNT (2c) Gdns,mlPAMPA (2c),mlPAMPA (2c) Gdns,"mlPGP (APER,mouse)","mlPGP (APER,mouse) Gdns",mlPGP (Papp AB),mlPGP (Papp AB) Gdns,mlPGP (h2c),mlPGP (h2c) Gdns,mlPGP (h4c),mlPGP (h4c) Gdns,mlPGP (m2c),mlPGP (m2c) Gdns,mlPGP (m4c),mlPGP (m4c) Gdns,mlPL (2c),mlPL (2c) Gdns,mlPPB (h3c),mlPPB (h3c) Gdns,mlPPB (human),mlPPB (human) Gdns,mlPPB (m3c),mlPPB (m3c) Gdns,mlPPB (mouse),mlPPB (mouse) Gdns,mlPPB (rat),mlPPB (rat) Gdns,mlPS (h3c),mlPS (h3c) Gdns,mlPS (m3c),mlPS (m3c) Gdns,"mlPapp (PGP,3c)","mlPapp (PGP,3c) Gdns","mlPapp (PGP,m3c)","mlPapp (PGP,m3c) Gdns",mlPhototox (2c),mlPhototox (2c) Gdns,mlSolubility (3c),mlSolubility (3c) Gdns,
1,A01B01,A01,B01,6.5,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3ccccc3,7,12,>98,Gen-5,12.7,3.54,3.78,9.79,,0.64,,,,1,0.99,0,0.64,0.07,0.21,0.24,0.64,0.32,0.3,51.31,275.6,271.93,0,Acidic,-1,1,0,O=C([O-])[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c1ccc(-c2ccccc2)cc1,3.5,3.89,2.38,3.06,397.44,0.14,0.96,O=C([C@@H](NS(c1ccc(c2ccccc2)cc1)(=O)=O)Cc3ccc(O)cc3)O,6,18,18,3,30,21,2,3,5,3,28,7,6,0,18,3,3,7,1,1.57,low,-,0.45,0.85,NULL,NEGATIVE,NEGATIVE,87.39,195.88,195.22,112.07,0.56,4.56,4.43,,607,573.93,0.13,375.16,-1,359.32,326.91,292.57,low (<= 5/50%),good,low (<= 5/50%),fair,low (<= 5/50%),poor,low (<= 5/50%),good,low (<= 5/50%),good,low (< 3.7),good,medium (5.6-30.5),poor,low (< 12),best,low (< 17.8),best,4.23,0.41,no flag,fair,inactive (<= 5),good,weak (<= 5),good,0.3,fair,pos,poor,low,poor,0.12,fair,1.19,fair,low (<= 3),poor,no (<= 2),poor,low (<= 3),poor,no (<= 2),poor,neg,best,high (>= 2),poor,1.98,poor,high (>= 2),poor,2.2,fair,1.95,good,high  (>= 80),good,high  (>= 80),good,low (<= 50),best,low (<= 50),best,neg,good,high (>= 150 ug/ml),good,
2,A01B02,A01,B02,6.8,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3ccc(Br)cc3,7,5,>98,Gen-3,11.97,4.29,3.78,9.79,,0.78,,,,1,1,0,0.62,0.07,0.21,0.23,0.62,0.31,0.28,51.31,294.63,293.75,0,Acidic,-1,1,0,O=C([O-])[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c1ccc(-c2ccc(Br)cc2)cc1,4.39,2.96,2,2.12,476.34,0.08,0.98,O=C([C@@H](NS(c1ccc(c2ccc(Br)cc2)cc1)(=O)=O)Cc3ccc(O)cc3)O,6,18,18,3,31,21,2,3,5,3,29,8,6,0,18,3,3,7,1,1.6,low,-,0.49,0.84,NULL,NEGATIVE,NEGATIVE,87.32,195.88,201.32,112.07,0.47,4.81,5.44,,639.39,620.45,0.12,400.54,-1,381.07,345.94,310.75,low (<= 5/50%),best,low (<= 5/50%),fair,low (<= 5/50%),poor,low (<= 5/50%),good,low (<= 5/50%),good,low (< 3.7),good,medium (5.6-30.5),poor,low (< 12),best,low (< 17.8),fair,4.27,0.43,no flag,good,inactive (<= 5),good,weak (<= 5),good,1.03,fair,neg,poor,low,poor,0.17,fair,1.19,fair,low (<= 3),poor,no (<= 2),poor,low (<= 3),poor,no (<= 2),poor,neg,best,high (>= 2),fair,2.21,fair,high (>= 2),fair,2.29,fair,2.2,fair,high  (>= 80),good,high  (>= 80),good,low (<= 50),good,low (<= 50),best,neg,good,high (>= 150 ug/ml),fair,
3,A01B03,A01,B03,Assay Failed,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3cccc(c3)N(=O)=O,7,16,>98,,13.74,3.43,3.78,9.79,,0.64,,,,1,0.99,0,0.58,0.06,0.29,0.33,0.58,0.42,0.38,78.75,271.84,261.08,0,Acidic,-1,2,1,O=C([O-])[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c1ccc(-c2cccc([N+](=O)[O-])c2)cc1,3.32,3.36,2.47,2.53,442.44,0.14,0.96,O=C([C@@H](NS(c1ccc(c2cc([N+]([O-])=O)ccc2)cc1)(=O)=O)Cc3ccc(O)cc3)O,9,18,18,3,33,21,2,3,7,3,31,10,9,0,18,3,3,8,1,1.62,low,charges out of test range,formal charge,-0.22,0.85,NULL,NEGATIVE,NEGATIVE,128.09,268.86,298.2,157.89,0.36,4.96,4.92,,633.88,633.92,0.14,413.04,-1,389.17,350.59,309.38,low (<= 5/50%),good,low (<= 5/50%),good,low (<= 5/50%),poor,low (<= 5/50%),good,low (<= 5/50%),good,low (< 3.7),good,medium (5.6-30.5),poor,low (< 12),best,low (< 17.8),best,4.17,0.34,no flag,poor,inactive (<= 5),good,weak (<= 5),best,0.26,fair,neg,poor,low,good,0.19,fair,1.12,fair,low (<= 3),poor,no (<= 2),poor,low (<= 3),poor,no (<= 2),poor,neg,best,high (>= 2),poor,1.9,fair,high (>= 2),poor,2.06,fair,1.89,fair,high  (>= 80),good,high  (>= 80),fair,low (<= 50),best,low (<= 50),best,neg,good,high (>= 150 ug/ml),good
4,A01B04,A01,B04,7.1,Cc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,7,9,>98,,12.4,4.03,3.78,9.79,,0.67,,,,1,0.99,0,0.62,0.1,0.21,0.23,0.62,0.31,0.28,51.31,289.9,288.12,0,Acidic,-1,1,0,Cc1ccc(-c2ccc(S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)[O-])cc2)cc1,4.05,3.55,2,2.72,411.47,0.12,0.96,Cc1ccc(c2ccc(S(N[C@H](C(O)=O)Cc3ccc(O)cc3)(=O)=O)cc2)cc1,6,18,18,3,31,22,3,3,5,3,29,7,6,0,18,3,3,7,1,1.59,low,-,0.48,0.84,NULL,NEGATIVE,NEGATIVE,87.3,195.88,201.32,112.08,0.54,4.78,4.64,,626.49,608.05,0.12,396.59,-1,375.42,341.21,308.35,low (<= 5/50%),good,low (<= 5/50%),good,low (<= 5/50%),poor,low (<= 5/50%),good,low (<= 5/50%),fair,low (< 3.7),good,medium (5.6-30.5),poor,low (< 12),best,low (< 17.8),good,4.21,0.38,no flag,fair,inactive (<= 5),good,weak (<= 5),best,0.6,fair,pos,poor,low,poor,0.14,fair,1.18,fair,low (<= 3),poor,no (<= 2),poor,low (<= 3),poor,no (<= 2),poor,neg,best,high (>= 2),poor,2.09,good,high (>= 2),poor,2.33,good,2.05,fair,high  (>= 80),best,high  (>= 80),good,low (<= 50),good,low (<= 50),best,neg,good,high (>= 150 ug/ml),fair,
5,A01B05,A01,B05,5.1,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3cccc4c5ccccc5oc34,7,32,>98,,13.44,5.04,3.78,9.79,,0.61,,,,1,0.99,0,0.71,0.06,0.2,0.22,0.71,0.3,0.28,56.57,342.1,334.85,0,Acidic,-1,1,0,O=C([O-])[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c1ccc(-c2cccc3c2oc2ccccc23)cc1,5.22,2.26,2,1.42,487.52,0.15,0.95,O=C([C@@H](NS(c1ccc(c2c3c(c(c4o3)cccc4)ccc2)cc1)(=O)=O)Cc5ccc(O)cc5)O,7,25,27,5,39,27,2,3,5,3,35,8,7,0,25,3,5,7,1,1.64,low,-,0.52,0.78,NULL,NEGATIVE,NEGATIVE,95.7,212.62,216.3,125.21,0.3,5.28,5.18,,696.62,678.1,0.12,445.8,-1,430.54,398.67,348.83,low (<= 5/50%),good,low (<= 5/50%),fair,medium (5-6/50-90%),poor,low (<= 5/50%),fair,low (<= 5/50%),fair,low (< 3.7),poor,medium (5.6-30.5),poor,low (< 12),fair,low (< 17.8),poor,4.29,0.44,no flag,fair,inactive (<= 5),good,weak (<= 5),fair,1.56,fair,neg,poor,low,poor,0.4,poor,1.2,poor,high (> 3),poor,high (>10),poor,high (>3),poor,high (> 10),poor,neg,best,high (>= 2),good,2.39,fair,high (>= 2),good,2.32,fair,2.39,good,high  (>= 80),best,high  (>= 80),fair,low (<= 50),fair,low (<= 50),best,neg,poor,medium (5 - 150 ug/ml),poor,
6,A01B06,A01,B06,5.4,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3cccc4Sc5ccccc5Sc34,7,37,>98,,11.78,5.95,3.78,9.79,,0.55,,,,1,0.98,0,0.67,0.06,0.17,0.19,0.72,0.34,0.34,51.31,379,367.11,0,Acidic,-1,1,0,O=C([O-])[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c1ccc(-c2cccc3c2Sc2ccccc2S3)cc1,6.33,2.06,1.53,1.33,535.65,0.18,0.92,O=C([C@@H](NS(c1ccc(c2c3c(Sc(c4S3)cccc4)ccc2)cc1)(=O)=O)Cc5ccc(O)cc5)O,6,24,24,4,40,27,2,3,7,3,36,9,6,1,26,3,5,7,1,1.65,low,-,0.59,0.84,NULL,NEGATIVE,NEGATIVE,87.39,252.99,254.41,162.68,0.26,5.22,5.16,,742.27,695.92,0.14,478.46,-1,454.5,430.3,384.5,low (<= 5/50%),best,low (<= 5/50%),good,medium (5-6/50-90%),poor,low (<= 5/50%),fair,low (<= 5/50%),poor,low (< 3.7),poor,medium (5.6-30.5),poor,low (< 12),fair,low (< 17.8),poor,4.42,0.53,no flag,fair,inactive (<= 5),good,weak (<= 5),good,2.22,fair,neg,fair,low,poor,0.49,poor,1.22,poor,high (> 3),poor,high (>10),poor,high (>3),poor,high (> 10),poor,neg,best,high (>= 2),best,2.48,good,high (>= 2),good,2.38,good,2.42,poor,high  (>= 80),good,high  (>= 80),fair,low (<= 50),good,low (<= 50),best,neg,good,medium (5 - 150 ug/ml),poor,
7,A01B07,A01,B07,7.6,CSc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,7,1,>98,,13.22,4.08,3.78,9.79,,0.74,,,,1,1,0,0.6,0.1,0.2,0.22,0.6,0.34,0.32,51.31,311.82,310.78,0,Acidic,-1,1,0,CSc1ccc(-c2ccc(S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)[O-])cc2)cc1,4.1,3.03,2,2.2,443.54,0.1,0.97,CSc1ccc(c2ccc(S(N[C@H](C(O)=O)Cc3ccc(O)cc3)(=O)=O)cc2)cc1,6,18,18,3,32,22,3,3,6,3,30,8,6,0,18,3,3,8,1,1.62,low,-,0.48,0.84,NULL,NEGATIVE,NEGATIVE,87.3,224.44,249.19,137.38,0.45,5.03,5.14,,657.16,643.36,0.11,423.2,-1,398.08,363.12,324.82,low (<= 5/50%),good,low (<= 5/50%),good,low (<= 5/50%),poor,low (<= 5/50%),fair,low (<= 5/50%),good,low (< 3.7),good,medium (5.6-30.5),poor,low (< 12),best,low (< 17.8),fair,4.27,0.43,no flag,fair,inactive (<= 5),good,weak (<= 5),best,0.78,fair,neg,poor,low,poor,0.22,poor,1.19,fair,low (<= 3),poor,no (<= 2),poor,low (<= 3),poor,no (<= 2),poor,neg,best,high (>= 2),fair,2.15,fair,high (>= 2),fair,2.27,good,2.13,good,high  (>= 80),good,high  (>= 80),good,low (<= 50),good,low (<= 50),best,neg,good,high (>= 150 ug/ml),fair,
8,A01B08,A01,B08,5,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3cccc(c3)C(F)(F)F,7,33,>98,,12.76,4.48,3.78,9.79,,0.64,,,,1,0.99,0,0.56,0.09,0.19,0.22,0.56,0.3,0.26,51.31,308.55,312.99,0,Acidic,-1,1,0,O=C([O-])[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c1ccc(-c2cccc(C(F)(F)F)c2)cc1,4.46,2.94,2,2.1,465.44,0.14,0.96,O=C([C@@H](NS(c1ccc(c2cc(C(F)(F)F)ccc2)cc1)(=O)=O)Cc3ccc(O)cc3)O,6,18,18,3,34,22,3,3,5,3,32,10,6,0,18,3,3,8,1,1.64,low,-,0.5,0.87,NULL,NEGATIVE,NEGATIVE,87.3,195.88,197.88,112.07,0.45,5.05,5.07,,648.01,646.57,0.14,424.02,-1,400.29,359.86,322.41,low (<= 5/50%),good,low (<= 5/50%),good,low (<= 5/50%),poor,low (<= 5/50%),fair,low (<= 5/50%),good,low (< 3.7),good,medium (5.6-30.5),poor,low (< 12),best,low (< 17.8),good,4.32,0.47,no flag,good,inactive (<= 5),good,weak (<= 5),good,1.24,fair,neg,poor,med2high,poor,0.18,fair,1.22,poor,low (<= 3),poor,no (<= 2),poor,low (<= 3),poor,no (<= 2),poor,neg,best,high (>= 2),fair,2.09,best,high (>= 2),fair,2.28,fair,2.11,fair,high  (>= 80),good,high  (>= 80),good,low (<= 50),good,low (<= 50),best,neg,best,high (>= 150 ug/ml),fair,
9,A01B09,A01,B09,4.1,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3ccccc3N(=O)=O,7,23,>98,,13.81,3.43,3.78,9.79,,0.59,,,,1,0.99,0,0.58,0.06,0.29,0.32,0.58,0.42,0.38,78.21,271.97,261.18,0,Acidic,-1,2,1,O=C([O-])[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c1ccc(-c2ccccc2[N+](=O)[O-])cc1,3.32,3.36,2.47,2.53,442.44,0.17,0.95,O=C([C@@H](NS(c1ccc(c2c([N+]([O-])=O)cccc2)cc1)(=O)=O)Cc3ccc(O)cc3)O,9,18,18,3,33,21,2,3,7,3,31,10,9,0,18,3,3,8,1,1.61,low,charges out of test range,formal charge,-0.21,0.82,NULL,NEGATIVE,NEGATIVE,124.84,268.86,271.19,157.89,0.36,4.66,4.57,,633.88,606.43,0.15,413,-1,386.01,350.18,313.84,low (<= 5/50%),good,low (<= 5/50%),fair,low (<= 5/50%),poor,low (<= 5/50%),fair,low (<= 5/50%),fair,low (< 3.7),good,medium (5.6-30.5),poor,low (< 12),best,low (< 17.8),good,4.2,0.37,no flag,poor,inactive (<= 5),good,weak (<= 5),best,0.19,fair,neg,poor,low,good,0.2,poor,1.16,fair,low (<= 3),poor,no (<= 2),poor,low (<= 3),poor,no (<= 2),poor,neg,best,medium (1-2),poor,1.88,fair,high (>= 2),poor,2.06,fair,1.88,good,high  (>= 80),good,high  (>= 80),fair,low (<= 50),best,low (<= 50),best,neg,good,high (>= 150 ug/ml),good
10,A01B10,A01,B10,5.6,Cc1ccc(cc1N(=O)=O)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,7,22,>98,Gen-4,13.43,3.92,3.78,9.79,,0.66,,,,1,0.99,0,0.56,0.09,0.28,0.31,0.56,0.41,0.36,78.1,285.76,276.32,0,Acidic,-1,2,1,Cc1ccc(-c2ccc(S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)[O-])cc2)cc1[N+](=O)[O-],3.87,3.02,2.07,2.18,456.47,0.13,0.97,Cc1c([N+]([O-])=O)cc(c2ccc(S(N[C@H](C(O)=O)Cc3ccc(O)cc3)(=O)=O)cc2)cc1,9,18,18,3,34,22,3,3,7,3,32,10,9,0,18,3,3,8,1,1.63,low,charges out of test range,formal charge,-0.19,0.84,NULL,NEGATIVE,NEGATIVE,125.36,268.86,289.69,157.89,0.34,5.09,5.04,,653.37,658.74,0.13,434.44,-1,401.68,363.86,332.02,low (<= 5/50%),good,low (<= 5/50%),good,low (<= 5/50%),poor,low (<= 5/50%),good,low (<= 5/50%),fair,low (< 3.7),good,medium (5.6-30.5),poor,low (< 12),best,low (< 17.8),good,4.14,0.28,no flag,poor,inactive (<= 5),good,weak (<= 5),best,0.57,fair,neg,poor,low,fair,0.22,poor,1.13,poor,low (<= 3),poor,no (<= 2),poor,low (<= 3),poor,no (<= 2),poor,neg,best,high (>= 2),poor,1.95,good,high (>= 2),poor,2.11,good,1.94,fair,high  (>= 80),good,high  (>= 80),fair,low (<= 50),best,low (<= 50),best,neg,good,high (>= 150 ug/ml),fair
