,Core,R1,R2
0,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],c1ccc([*:2])cc1
1,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],Brc1ccc([*:2])cc1
2,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],O=[N+]([O-])c1cccc([*:2])c1
3,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],Cc1ccc([*:2])cc1
4,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],c1ccc2c(c1)oc1c([*:2])cccc12
5,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],c1ccc2c(c1)Sc1cccc([*:2])c1S2
6,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],CSc1ccc([*:2])cc1
7,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],FC(F)(F)c1cccc([*:2])c1
8,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],O=[N+]([O-])c1ccccc1[*:2]
9,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],Cc1ccc([*:2])cc1[N+](=O)[O-]
10,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],CC(=O)Nc1cccc([*:2])c1
11,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],Fc1cccc([*:2])c1
12,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],COc1ccccc1[*:2]
13,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],Clc1ccccc1[*:2]
14,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],Fc1ccccc1[*:2]
15,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],CCOc1ccccc1[*:2]
16,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],OCc1ccc([*:2])cc1
17,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],CCCc1ccc([*:2])cc1
18,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],CCc1ccc([*:2])cc1
19,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],Fc1cc([*:2])ccc1OCc1ccccc1
20,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],c1ccc(Oc2ccccc2[*:2])cc1
21,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],Cc1cccc(C)c1[*:2]
22,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],c1cc2c(cc1[*:2])OCO2
23,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],COc1ccc([*:2])c(OC)c1
24,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],FC(F)(F)Oc1ccc([*:2])cc1
25,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],Fc1c(F)c(F)c([*:2])c(F)c1F
26,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],CC(=O)c1ccc([*:2])cc1
27,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],Clc1cccc([*:2])c1Cl
28,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],O=C(O)/C=C/c1cccc([*:2])c1
29,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],O=[N+]([O-])/C=C/c1ccc([*:2])cc1
30,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],COc1c(C)cc([*:2])cc1C
31,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],c1cnc2c([*:2])cccc2c1
32,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],OCc1cccc([*:2])c1
33,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],COc1ccc(C(C)C)cc1[*:2]
34,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],c1ccc2c(c1)sc1c([*:2])cccc12
35,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],COc1ccc([*:2])c(OC)c1OC
36,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],COc1ccc(Cl)cc1[*:2]
37,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],N#Cc1cccc([*:2])c1
38,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],CC(=O)c1ccccc1[*:2]
39,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],NCc1ccc([*:2])cc1
40,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],COC(=O)c1ccc([*:2])cc1
41,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],c1ccc(COc2cccc([*:2])c2)cc1
42,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],Fc1cc([*:2])cc(F)c1F
43,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],Cc1cc(F)ccc1[*:2]
44,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],O=Cc1cc([*:2])ccc1F
45,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],COc1cccc([*:2])c1F
46,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],CCOC(=O)c1cccc([*:2])c1
47,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],Cc1ccc([*:2])cc1F
48,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],COc1c(F)cc(F)cc1[*:2]
49,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],Cc1ccc(F)c([*:2])c1Cl
50,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],c1ccc([*:2])cc1
51,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],Brc1ccc([*:2])cc1
