,Core,Atag,R1,Btag,R2,pIC50
0,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1.[H][*:1],B01,c1ccc([*:2])cc1,6.5
1,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1.[H][*:1],B02,Brc1ccc([*:2])cc1,6.8
2,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1.[H][*:1],B03,O=[N+]([O-])c1cccc([*:2])c1,Assay Failed
3,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1.[H][*:1],B04,Cc1ccc([*:2])cc1,7.1
4,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1.[H][*:1],B05,c1ccc2c(c1)oc1c([*:2])cccc12,5.1
5,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1.[H][*:1],B06,c1ccc2c(c1)Sc1cccc([*:2])c1S2,5.4
6,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1.[H][*:1],B07,CSc1ccc([*:2])cc1,7.6
7,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1.[H][*:1],B08,FC(F)(F)c1cccc([*:2])c1,5
8,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1.[H][*:1],B09,O=[N+]([O-])c1ccccc1[*:2],4.1
9,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1.[H][*:1],B10,Cc1ccc([*:2])cc1[N+](=O)[O-],5.6
10,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1.[H][*:1],B11,CC(=O)Nc1cccc([*:2])c1,6.4
11,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1.[H][*:1],B12,Fc1cccc([*:2])c1,6
12,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1.[H][*:1],B13,COc1ccccc1[*:2],Inactive
13,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1.[H][*:1],B14,Clc1ccccc1[*:2],4.6
14,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1.[H][*:1],B15,Fc1ccccc1[*:2],5.7
15,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1.[H][*:1],B16,CCOc1ccccc1[*:2],3.8
